Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,captio,captieo,captio,captio,I hunt
Active Indicative,Present,1st Person,Plural,captiamus,captiemus,captimus,captimus,We hunt
Active Indicative,Present,2nd Person,Singular,captias,capties,captis,captis,You hunt
Active Indicative,Present,2nd Person,Plural,captiatis,captietis,captitis,captitis,You (pl.) hunt
Active Indicative,Present,3rd Person,Singular,captiat,captiet,captit,captit,He/she/it hunt
Active Indicative,Present,3rd Person,Plural,captiant,captient,captiunt,captiunt,They hunt
Active Indicative,Imperfect,1st Person,Singular,captiabam,captiebam,captiebam,captiebam,I was hunting
Active Indicative,Imperfect,1st Person,Plural,captiabamus,captiebamus,captiebamus,captiebamus,We were hunting
Active Indicative,Imperfect,2nd Person,Singular,captiabas,captiebas,captiebas,captiebas,You were hunting
Active Indicative,Imperfect,2nd Person,Plural,captiabatis,captiebatis,captiebatis,captiebatis,You (pl.) were hunting
Active Indicative,Imperfect,3rd Person,Singular,captiabat,captiebat,captiebat,captiebat,He/she/it was hunting
Active Indicative,Imperfect,3rd Person,Plural,captiabant,captiebant,captiebant,captiebant,They were hunting
Active Indicative,Future,1st Person,Singular,captiabo,captiebo,captiam,captiam,I will hunt
Active Indicative,Future,1st Person,Plural,captiabimus,captiebimus,captiemus,captiemus,We will hunt
Active Indicative,Future,2nd Person,Singular,captiabis,captiebis,capties,capties,You will hunt
Active Indicative,Future,2nd Person,Plural,captiabitis,captiebitis,captietis,captietis,You (pl.) will hunt
Active Indicative,Future,3rd Person,Singular,captiabit,captiebit,captiet,captiet,He/she/it will hunt
Active Indicative,Future,3rd Person,Plural,captiabunt,captiebunt,captient,captient,They will hunt
Active Indicative,Perfect,1st Person,Singular,captiavi,captiui,capti,capti,I have hunted
Active Indicative,Perfect,1st Person,Plural,captiavimus,captiuimus,captimus,captimus,We have hunted
Active Indicative,Perfect,2nd Person,Singular,captiavisti,captiuisti,captisti,captisti,You have hunted
Active Indicative,Perfect,2nd Person,Plural,captiavistis,captiuistis,captistis,captistis,You (pl.) have hunted
Active Indicative,Perfect,3rd Person,Singular,captiavit,captiuit,captit,captit,He/she/it has hunted
Active Indicative,Perfect,3rd Person,Plural,captiaverunt,captiuerunt,captierunt,captierunt,They have hunted
Active Indicative,Pluperfect,1st Person,Singular,captiaveram,captiueram,captieram,captieram,I had hunted
